-5.8405E+14,-3.4564E+11,1001927,PARADAS CON REFUGIO,"OBLIGADO RAFAEL, AV.COSTANERA",2281,LA PAMPA,SARMIENTO AV.,"OBLIGADO RAFAEL, AV.COSTANERA 2281","OBLIGADO RAFAEL, AV.COSTANERA",2281,105.346.191.656.000.000.000,107.240.162.337.000.000.000,F,"","",RELEVAMIENTO2015,T,17/4/2015
-5.84205E+14,-3.45724E+11,2509,"","","","","","","","",103.922.882.812.500.000.000,106.311.960.937.500.000.000,F,"",DEL LIBERTADOR AV.&&GODOY CRUZ,USIG,F,8/11/2016
-5.85054E+14,-3.45749E+11,14567,"","","","","","","","",96.136.914.062.500.000.000,106.026.414.062.500.000.000,F,"","ALBARELLOS AV.&&ARTIGAS, JOSE GERVASIO, GRAL.",USIG,F,8/11/2016
-5.85122E+14,-3.45769E+11,1004215,PARADAS CON REFUGIO,"PAZ, GRAL. AV. COLECTORA",5314,"SOTO, ANTONIO",EZEIZA,"","","",95.514.884.038.621.900.000,105.811.110.743.421.000.000,F,"","",RELEVAMIENTO2015,T,10/4/2015
-5.85065E+14,-3.45815E+11,3264,"","","","","","","","",96.033.093.750.000.000.000,105.300.640.625.000.000.000,F,"",FRANCO&&NAZCA,USIG,F,30/11/2016
-5.84688E+14,-3.45827E+11,1003636,PARADA NO OFICIAL,FRAGA,1826,"","",FRAGA 1826,FRAGA,1826,99.498.062.167.600.000.000,105.160.827.980.999.000.000,F,"","",RELEVAMIENTO2015,T,20/4/2015
-5.84353E+14,-3.45832E+11,1000897,PARADA NO OFICIAL,FITZ ROY,1808,COSTA RICA,EL SALVADOR,FITZ ROY 1808,FITZ ROY,1808,102.570.503.138.999.000.000,105.112.077.376.999.000.000,F,"","",RELEVAMIENTO2015,T,15/4/2015
-5.84026E+14,-3.45836E+11,1000505,PARADAS CON REFUGIO,LAS HERAS GENERAL AV.,2914,BILLINGHURST,SANCHEZ DE BUSTAMANTE,LAS HERAS GENERAL AV. 2914,LAS HERAS GENERAL AV.,2914,105.573.008.153.000.000.000,105.070.164.135.000.000.000,F,"","",RELEVAMIENTO2015,T,13/4/2015
-5.84443E+14,-3.45847E+11,1000097,PARADAS CON REFUGIO,CORDOBA AV.,5981,"RAVIGNANI, EMILIO, DR.",AREVALO,CORDOBA AV. 5981,CORDOBA AV.,5981,101.739.699.368.000.000.000,104.941.884.149.000.000.000,F,"","",RELEVAMIENTO2015,T,9/4/2015
-5.84268E+14,-3.45851E+11,1000656,PARADAS DE POSTE,THAMES,2038,GUATEMALA,SOLER,THAMES 2038,THAMES,2038,103.346.243.092.000.000.000,104.894.991.591.000.000.000,F,"","",RELEVAMIENTO2015,T,14/4/2015
-5.84693E+14,-3.45871E+11,3785,"","","","","","","","",99.450.695.312.500.000.000,104.683.007.812.500.000.000,F,"",MONTENEGRO&&TRONADOR,USIG,F,30/11/2016
-5.83794E+14,-3.45901E+11,14263,"","","","","","","","",107.692.476.562.500.000.000,104.344.906.250.000.000.000,F,"",DEL LIBERTADOR AV.&&SUIPACHA,USIG,F,8/11/2016
-5.85218E+14,-3.45959E+11,7491,"","","","","","","","",94.634.935.996.729.400.000,103.695.547.942.847.000.000,F,"","PAZ, GRAL. AV.",USIG,F,8/11/2016
-5.84266E+14,-3.45962E+11,1000080,PARADA NO OFICIAL,CORDOBA AV.,4267,PRINGLES,ESTADO DE PALESTINA,CORDOBA AV. 4267,CORDOBA AV.,4267,103.363.862.236.999.000.000,103.662.637.835.999.000.000,F,"","",RELEVAMIENTO2015,T,9/4/2015
-5.84335E+14,-3.45966E+11,1004017,PARADAS DE POSTE,"SCALABRINI ORTIZ, RAUL AV.",779,"","","SCALABRINI ORTIZ, RAUL AV. 779","SCALABRINI ORTIZ, RAUL AV.",779,102.730.671.359.999.000.000,103.620.028.042.000.000.000,F,"","",RELEVAMIENTO2015,T,20/4/2015
-5.84215E+14,-3.45977E+11,1001925,PARADAS CON REFUGIO,CORDOBA AV.,3885,"","",CORDOBA AV. 3885,CORDOBA AV.,3885,103.837.882.069.000.000.000,103.506.560.614.999.000.000,F,"","",RELEVAMIENTO2015,T,21/4/2015
-5.8411E+14,-3.4598E+11,1000460,PARADAS CON REFUGIO,CORDOBA AV.,3137,AGUERO,GALLO,CORDOBA AV. 3137,CORDOBA AV.,3137,104.797.774.823.000.000.000,103.471.071.089.000.000.000,F,"","",RELEVAMIENTO2015,T,13/4/2015
-5.84081E+14,-3.45981E+11,4959,"","","","","","","","",105.059.187.500.000.000.000,103.459.890.625.000.000.000,F,"","ANCHORENA, TOMAS MANUEL DE, DR.&&CORDOBA AV.",USIG,F,30/11/2016
-5.83774E+14,-3.45988E+11,1001588,PARADAS DE POSTE,CORDOBA AV.,731,MAIPU,ESMERALDA,CORDOBA AV. 731,CORDOBA AV.,731,107.881.267.361.000.000.000,103.380.949.459.000.000.000,F,"","",RELEVAMIENTO2015,T,17/4/2015
-5.84359E+14,-3.45992E+11,5083,"","","","","","","","",102.510.601.562.500.000.000,103.335.914.062.500.000.000,F,"","ARAOZ&&RAMIREZ DE VELASCO, JUAN",USIG,F,31/1/2017
-5.84377E+14,-3.4603E+11,5618,"","","","","","","","",102.344.531.250.000.000.000,102.909.187.500.000.000.000,F,"",CAMARGO&&LAVALLEJA,USIG,F,8/11/2016
-5.84885E+14,-3.46033E+11,1004061,PARADAS DE POSTE,NAZCA AV.,2826,"SASTRE, MARCOS","SASTRE, MARCOS",NAZCA AV. 2826,NAZCA AV.,2826,97.691.262.008.000.000.000,102.880.132.203.000.000.000,F,"","",RELEVAMIENTO2015,T,20/4/2015
-5.8509E+14,-3.46067E+11,1005131,PARADA NO OFICIAL,GUALEGUAYCHU,3108,VARELA,SIMBRON,GUALEGUAYCHU 3108,GUALEGUAYCHU,3108,95.804.141.597.499.900.000,102.505.070.779.999.000.000,F,"","",RELEVAMIENTO2015,T,22/4/2015
-5.83715E+14,-3.46078E+11,1001010,PARADAS CON REFUGIO,RIVADAVIA AV.,363,BALCARCE,RECONQUISTA,RIVADAVIA AV. 363,RIVADAVIA AV.,363,108.422.666.500.000.000.000,102.380.397.707.000.000.000,F,"","",RELEVAMIENTO2015,T,22/4/2015
-5.83715E+14,-3.46078E+11,1001014,PARADAS CON REFUGIO,RIVADAVIA AV.,363,"",RECONQUISTA,RIVADAVIA AV. 363,RIVADAVIA AV.,363,108.422.666.500.000.000.000,102.380.397.707.000.000.000,F,"","",RELEVAMIENTO2015,T,22/4/2015
-5.83715E+14,-3.46078E+11,1001019,PARADAS CON REFUGIO,RIVADAVIA AV.,363,25 DE MAYO,RECONQUISTA,RIVADAVIA AV. 363,RIVADAVIA AV.,363,108.422.666.500.000.000.000,102.380.397.707.000.000.000,F,"","",RELEVAMIENTO2015,T,22/4/2015
-5.83715E+14,-3.46078E+11,1001021,PARADAS DE POSTE,RIVADAVIA AV.,371,25 DE MAYO,RECONQUISTA,RIVADAVIA AV. 371,RIVADAVIA AV.,371,108.422.666.500.000.000.000,102.380.397.707.000.000.000,F,"","",RELEVAMIENTO2015,T,15/4/2015
-5.84191E+14,-3.46086E+11,1002539,PARADA NO OFICIAL,DIAZ VELEZ AV.,3722,"","",DIAZ VELEZ AV. 3722,DIAZ VELEZ AV.,3722,104.057.960.251.000.000.000,102.289.808.439.000.000.000,F,"","",RELEVAMIENTO2015,T,22/4/2015
-5.83849E+14,-3.46087E+11,6356,"","","","","","","","",107.193.992.187.500.000.000,102.280.460.937.500.000.000,F,"",RIVADAVIA AV.&&SANTIAGO DEL ESTERO,USIG,F,8/11/2016
-5.84176E+14,-3.46096E+11,1002592,PARADAS DE POSTE,"MITRE, BARTOLOME",3610,"","","MITRE, BARTOLOME 3610","MITRE, BARTOLOME",3610,104.190.526.382.000.000.000,102.180.065.403.000.000.000,F,"","",RELEVAMIENTO2015,T,15/4/2015
-5.83893E+14,-3.46101E+11,1001818,PARADAS DE POSTE,"YRIGOYEN, HIPOLITO AV.",1628,SOLIS,"CEVALLOS, VIRREY","YRIGOYEN, HIPOLITO AV. 1628","YRIGOYEN, HIPOLITO AV.",1628,106.790.199.061.000.000.000,102.119.434.213.000.000.000,F,"","",RELEVAMIENTO2015,T,20/4/2015
-5.83909E+14,-3.46103E+11,1001657,PARADAS DE POSTE,"YRIGOYEN, HIPOLITO AV.",1750,ENTRE RIOS AV.,SOLIS,"YRIGOYEN, HIPOLITO AV. 1750","YRIGOYEN, HIPOLITO AV.",1750,106.637.951.373.000.000.000,102.101.745.169.000.000.000,F,"","",RELEVAMIENTO2015,T,15/4/2015
-5.83909E+14,-3.46103E+11,1001658,PARADAS DE POSTE,"YRIGOYEN, HIPOLITO AV.",1752,ENTRE RIOS AV.,SOLIS,"YRIGOYEN, HIPOLITO AV. 1752","YRIGOYEN, HIPOLITO AV.",1752,106.637.951.373.000.000.000,102.101.745.169.000.000.000,F,"","",RELEVAMIENTO2015,T,15/4/2015
-5.83974E+14,-3.4612E+11,1001120,PARADAS DE POSTE,PASCO,212,MORENO,"ALSINA, ADOLFO",PASCO 212,PASCO,212,106.041.015.935.000.000.000,101.913.417.807.000.000.000,F,"","",RELEVAMIENTO2015,T,16/4/2015
-5.84148E+14,-3.46131E+11,6981,"","","","","","","","",104.449.656.250.000.000.000,101.797.945.312.500.000.000,F,"","LINIERS VIRREY&&YRIGOYEN, HIPOLITO AV.",USIG,F,8/11/2016
-5.85298E+14,-3.46142E+11,1004484,PARADAS CON REFUGIO,"PAZ, GRAL. AV. COLECTORA",S/N,MORAN PEDRO,MOLIERE,"","","",93.903.610.224.712.000.000,101.669.450.976.785.000.000,F,"","",RELEVAMIENTO2015,T,21/4/2015
-5.85094E+14,-3.46145E+11,1004468,PARADA NO OFICIAL,BAIGORRIA,4689,"","JUAREZ, BENITO",BAIGORRIA 4689,BAIGORRIA,4689,95.772.660.390.399.900.000,101.637.110.466.000.000.000,F,"","",RELEVAMIENTO2015,T,11/4/2015
-5.84868E+14,-3.46157E+11,1004070,PARADAS DE POSTE,CAMARONES,3406,CERVANTES,LLAVALLOL,CAMARONES 3406,CAMARONES,3406,97.845.659.584.499.900.000,101.503.900.901.000.000.000,F,"","",RELEVAMIENTO2015,T,9/4/2015
-5.84187E+14,-3.46159E+11,1001312,PARADAS CON REFUGIO,BELGRANO AV.,3710,CASTRO BARROS AV.,COLOMBRES,BELGRANO AV. 3710,BELGRANO AV.,3710,104.091.512.424.999.000.000,101.485.230.673.000.000.000,F,"","",RELEVAMIENTO2015,T,23/4/2015
-5.84056E+14,-3.4616E+11,1001294,PARADAS DE POSTE,REPUBLICA BOLIVARIANA DE VENEZUELA,2795,"",JUJUY AV.,REPUBLICA BOLIVARIANA DE VENEZUELA 2795,REPUBLICA BOLIVARIANA DE VENEZUELA,2795,105.290.762.065.000.000.000,101.469.871.745.000.000.000,F,"","",RELEVAMIENTO2015,T,29/12/2014
-5.84273E+14,-3.46168E+11,1001485,PARADAS DE POSTE,MUÑIZ,274,QUITO,BELGRANO,MUÑIZ 274,MUÑIZ,274,103.299.827.778.000.000.000,101.384.592.414.000.000.000,F,"","",RELEVAMIENTO2015,T,17/4/2015
-5.83658E+14,-3.4617E+11,1000064,PARADAS CON REFUGIO,"MOREAU DE JUSTO, ALICIA AV.",1600,"EYLE, PETRONA","EZCURRA, ENCARNACION","MOREAU DE JUSTO, ALICIA AV. 1600","MOREAU DE JUSTO, ALICIA AV.",1600,108.945.004.332.000.000.000,101.357.077.681.000.000.000,F,"","",RELEVAMIENTO2015,T,14/1/2015
-5.83874E+14,-3.46182E+11,1002034,PARADAS DE POSTE,"SAENZ PEÑA, LUIS, PRES.",822,"","","SAENZ PEÑA, LUIS, PRES. 822","SAENZ PEÑA, LUIS, PRES.",822,106.960.821.921.000.000.000,101.224.147.033.000.000.000,F,"","",RELEVAMIENTO2015,T,22/4/2015
-5.8438E+14,-3.46185E+11,1003320,PARADAS DE POSTE,HIDALGO,24,YERBAL,RIVADAVIA AV.,HIDALGO 24,HIDALGO,24,102.324.091.674.000.000.000,101.192.303.906.999.000.000,F,"","",RELEVAMIENTO2015,T,20/4/2015
-5.84348E+14,-3.46228E+11,1004305,PARADA NO OFICIAL,"MORENO, JOSE MARIA AV.",395,"ALBERDI, JUAN BAUTISTA AV.",FORMOSA,"MORENO, JOSE MARIA AV. 395","MORENO, JOSE MARIA AV.",395,102.614.741.613.000.000.000,100.716.079.010.000.000.000,F,"","",RELEVAMIENTO2015,T,10/4/2015
-5.83858E+14,-3.46239E+11,8586,"","","","","","","","",107.107.054.687.500.000.000,100.589.398.437.500.000.000,F,"",COCHABAMBA&&SAN JOSE,USIG,F,31/1/2017
-5.84666E+14,-3.46249E+11,1002257,PARADAS DE POSTE,AVELLANEDA AV.,2534,"","",AVELLANEDA AV. 2534,AVELLANEDA AV.,2534,99.697.656.558.500.000.000,100.484.281.359.000.000.000,F,"","",RELEVAMIENTO2015,T,13/4/2015
-5.84535E+14,-3.46255E+11,1003254,PARADAS DE POSTE,RIVADAVIA AV.,6178,MORELOS,"ALVAREZ, DONATO, TTE. GRAL. AV.",RIVADAVIA AV. 6178,RIVADAVIA AV.,6178,100.896.095.344.999.000.000,100.415.346.362.000.000.000,F,"","",RELEVAMIENTO2015,T,15/4/2015
-5.85271E+14,-3.46257E+11,1004554,PARADA NO OFICIAL,NOGOYA,6112,"","",NOGOYA 6112,NOGOYA,6112,94.152.990.172.000.000.000,100.396.625.289.000.000.000,F,"","",RELEVAMIENTO2015,T,22/4/2015
-5.83858E+14,-3.46261E+11,8903,"","","","","","","","",107.111.312.500.000.000.000,100.347.679.687.500.000.000,F,"",PAVON&&SAN JOSE,USIG,F,8/11/2016
-5.84584E+14,-3.46275E+11,1002222,PARADAS DE POSTE,RIVADAVIA AV.,6560,"","",RIVADAVIA AV. 6560,RIVADAVIA AV.,6560,100.445.566.923.000.000.000,100.200.229.688.000.000.000,F,"","",RELEVAMIENTO2015,T,10/4/2015
-5.8416E+14,-3.46284E+11,1001538,PARADAS DE POSTE,BOEDO AV.,1261,CONSTITUCION,TARIJA,BOEDO AV. 1261,BOEDO AV.,1261,104.337.891.415.000.000.000,100.091.420.966.000.000.000,F,"","",RELEVAMIENTO2015,T,17/4/2015
-5.84762E+14,-3.46323E+11,1006362,PARADA NO OFICIAL,RIVADAVIA AV.,7945,"","",RIVADAVIA AV. 7945,RIVADAVIA AV.,7945,98.814.862.949.500.000.000,99.660.958.293.999.900.000,F,"","",RELEVAMIENTO2015,T,13/4/2015
-5.84791E+14,-3.46333E+11,1006302,PARADAS DE POSTE,RIVADAVIA AV.,8210,"","",RIVADAVIA AV. 8210,RIVADAVIA AV.,8210,98.552.670.867.599.900.000,99.557.312.060.199.900.000,F,"","",RELEVAMIENTO2015,T,11/4/2015
-5.83825E+14,-3.46341E+11,10063,"","","","","","","","",107.408.390.625.000.000.000,99.460.726.562.500.000.000,F,"","OLMOS, AMBROSIO&&SALTA",USIG,F,3/4/2017
-5.84873E+14,-3.46354E+11,1005398,PARADA NO OFICIAL,LACARRA,10,"","",LACARRA 10,LACARRA,10,97.797.049.905.499.900.000,99.319.171.089.900.000.000,F,"","",RELEVAMIENTO2015,T,29/4/2015
-5.84918E+14,-3.46361E+11,1006075,PARADA NO OFICIAL,RIVADAVIA AV.,9085,"","",RIVADAVIA AV. 9085,RIVADAVIA AV.,9085,97.386.155.907.900.000.000,99.240.379.333.599.900.000,F,"","",RELEVAMIENTO2015,T,9/4/2015
-5.84969E+14,-3.46372E+11,1006325,PARADA NO OFICIAL,RIVADAVIA AV.,9418,"","",RIVADAVIA AV. 9418,RIVADAVIA AV.,9418,96.915.155.657.099.900.000,99.120.618.737.900.000.000,F,"","",RELEVAMIENTO2015,T,11/4/2015
-5.84879E+14,-3.46381E+11,10617,"","","","","","","","",97.746.632.812.500.000.000,99.019.523.437.500.000.000,F,"",RAFAELA&&RIO GRANDE,USIG,F,8/11/2016
-5.84498E+14,-3.46387E+11,1004671,PARADAS DE POSTE,CARABOBO AV.,1189,"","",CARABOBO AV. 1189,CARABOBO AV.,1189,101.236.101.092.000.000.000,98.949.866.698.400.000.000,F,"","",RELEVAMIENTO2015,T,14/4/2015
-5.84556E+14,-3.46404E+11,1003556,PARADAS DE POSTE,"PERON, EVA AV.",2483,"","","PERON, EVA AV. 2483","PERON, EVA AV.",2483,100.705.585.576.000.000.000,98.770.105.719.200.000.000,F,"","",RELEVAMIENTO2015,T,20/4/2015
-5.84853E+14,-3.4646E+11,14345,"","","","","","","","",97.979.957.529.188.000.000,98.148.967.924.248.300.000,F,"",DIRECTORIO AV.&&PITAGORAS,USIG,F,8/11/2016
-5.84264E+14,-3.46461E+11,11816,"","","","","","","","",103.385.921.875.000.000.000,98.137.062.500.000.000.000,F,"","FERNANDEZ DE LA CRUZ, F., GRAL. AV.&&PAZOS, JOSE",USIG,F,8/11/2016
-5.84061E+14,-3.46468E+11,1005175,PARADAS DE POSTE,GRITO DE ASENCIO,3168,"","",GRITO DE ASENCIO 3168,GRITO DE ASENCIO,3168,105.246.690.282.000.000.000,98.049.772.765.300.000.000,F,"","",RELEVAMIENTO2015,T,16/4/2015
-5.84493E+14,-3.46472E+11,1007035,PARADAS CON REFUGIO,VARELA AV.,1791,SARAZA,CASTAÑARES AV.,VARELA AV. 1791,VARELA AV.,1791,101.282.911.932.000.000.000,98.013.169.034.100.000.000,F,"","",RELEVAMIENTO2015,T,23/4/2015
-5.8527E+14,-3.46499E+11,1005774,PARADA NO OFICIAL,"SUAREZ, JOSE LEON",993,"","","SUAREZ, JOSE LEON 993","SUAREZ, JOSE LEON",993,94.159.874.947.599.900.000,97.707.145.680.500.000.000,F,"","",RELEVAMIENTO2015,T,16/4/2015
-5.84251E+14,-3.46501E+11,1006795,PARADAS DE POSTE,"MORENO, PERITO AV.",1281,"VEDIA, AGUSTIN DE","","MORENO, PERITO AV. 1281","MORENO, PERITO AV.",1281,103.504.341.040.000.000.000,97.688.552.295.899.900.000,F,"","",RELEVAMIENTO2015,T,10/4/2015
-5.8408E+14,-3.46502E+11,1005839,PARADA NO OFICIAL,PEPIRI,1093,"","",PEPIRI 1093,PEPIRI,1093,105.070.175.182.000.000.000,97.677.257.604.600.000.000,F,"","",RELEVAMIENTO2015,T,17/4/2015
-5.84164E+14,-3.46517E+11,20353,"","","","","","","","",104.302.535.435.080.000.000,97.513.113.972.841.700.000,T,POMPEYA,SAENZ AV.&&TRAFUL,USIG,T,12/10/2016
-5.84939E+14,-3.46532E+11,1006588,PARADAS DE POSTE,DIRECTORIO AV.,5349,"","",DIRECTORIO AV. 5349,DIRECTORIO AV.,5349,97.196.445.736.199.900.000,97.349.967.653.600.000.000,F,"","",RELEVAMIENTO2015,T,4/2/2015
-5.84166E+14,-3.46537E+11,1005886,PARADA NO OFICIAL,SAENZ AV.,1151,"","",SAENZ AV. 1151,SAENZ AV.,1151,104.281.932.724.000.000.000,97.288.265.123.100.000.000,F,"","",RELEVAMIENTO2015,T,17/4/2015
-5.84175E+14,-3.46548E+11,1006531,PARADA NO OFICIAL,"RABANAL, FRANCISCO, INTENDENTE AV.",1317,"","","RABANAL, FRANCISCO, INTENDENTE AV. 1317","RABANAL, FRANCISCO, INTENDENTE AV.",1317,104.201.629.856.000.000.000,97.169.523.720.099.900.000,F,"","",RELEVAMIENTO2015,T,22/4/2015
