LINEA,STOP_ID
1,1002222
1,10470
1,1006326
1,1006107
1,10608
1,10677
1,10739
1,1005709
1,1003659
1,1002882
1,1003278
1,1003274
1,8488
1,8661
1,8646
1,1003260
1,8778
1,1002708
1,1002216
1,1002205
1,9179
1,1002228
1,1002696
1,1002234
1,9463
1,14946
1,1002245
1,9677
1,1006250
1,1002192
1,9762
1,1006363
1,1005922
1,1006033
1,216
1,1006365
1,1006313
1,1006367
1,1006063
1,1006318
1,10333
1,1006068
1,10411
1,10413
1,1006328
1,10553
1,1005965
1,1005925
1,1006171
1,1006143
1,1006338
1,10937
1,1005769
1,1005708
1,1006332
1,1006164
1,10880
1,10804
10,1001355
10,1001331
10,1000527
10,20307
10,1005304
10,1005317
10,1005324
10,1001660
10,1001661
10,2576
10,1001104
10,1001105
10,1000819
10,1001127
10,1001097
10,1000947
10,1000938
10,1000937
10,1000931
10,1000933
10,3289
10,1000924
10,1000920
10,3425
10,1000455
10,1000448
10,1000504
10,1000509
10,1000441
10,1000435
10,1000540
10,1000425
10,1000522
10,1000525
10,1000416
10,1000628
10,1000402
10,1001046
10,1001701
10,1000213
10,1001700
10,1000100
10,4725
10,20309
10,20303
10,20299
10,20295
10,8561
10,1002840
10,1005086
10,1005097
10,1005084
10,1005106
10,1005094
10,1005077
10,195
10,9428
10,9551
10,9590
10,9863
10,10127
10,1005278
10,1005309
10,1005313
10,1005276
10,1005314
10,1005273
10,1005321
10,15124
10,11758
10,1005333
10,1005327
10,1005335
10,1005260
100,14263
100,1001726
100,20311
100,1007044
100,1006502
100,1006996
100,4201
100,1007001
100,4461
100,4456
100,1002858
100,20306
100,20304
100,20300
100,20297
100,8316
100,1007127
100,1002845
100,1006886
100,1006879
100,1007143
100,1007075
100,1007146
100,1006513
100,1007149
100,1006510
100,1006506
100,1005074
100,1006503
100,1005072
100,1005066
100,1006500
100,1006497
100,15097
100,1006384
100,1006356
100,1006351
100,11888
100,1005254
100,1005058
100,1005049
101,11816
101,1004571
101,1002904
101,6073
101,8101
101,1004529
101,1004355
101,20320
101,1004703
101,11630
101,20394
101,12503
101,20325
101,12568
101,1006592
101,1006860
101,1006674
101,1000775
101,1006948
101,1000543
101,1006925
101,1000774
101,1000544
101,1004569
101,1000654
101,1000661
101,1007004
101,1007005
101,4522
101,1001725
101,1000649
101,1000405
101,1001049
101,1002856
101,4656
101,1001740
101,1000644
101,1002852
101,1001699
101,4725
101,1001044
101,1001042
101,1000643
101,1000482
101,1000494
101,1002946
101,1001087
101,5336
101,1000426
101,1002897
101,1001129
101,5820
101,6381
101,6599
101,6740
101,1003001
101,1002953
101,1002997
101,7401
101,7481
101,1002996
101,7847
101,1002995
101,1002994
101,8440
101,1002993
101,8852
101,9224
101,1006590
101,1004528
101,1004373
101,1004379
101,1004382
101,1004380
101,1004362
101,1005407
101,1001194
101,1001193
101,10712
101,1001196
101,10747
101,1001189
101,1001199
101,1001187
101,1001203
101,20321
101,1006873
101,10949
101,1004625
101,1004627
101,1004694
101,1004689
101,11014
101,1006870
101,1006804
101,1006868
101,1005478
101,1006806
101,1005481
101,1004687
101,1004629
101,1005506
101,1005487
101,15109
101,20322
101,11586
101,1002465
101,1005492
101,1003807
101,1005497
101,1004685
101,11617
101,11458
101,11484
101,11536
101,1003799
101,1004683
101,11718
101,1003804
101,11879
101,20393
101,12047
101,12060
101,1006064
101,12201
101,12229
101,20395
101,20396
101,12307
101,12693
101,1006591
101,20326
101,20364
101,12956
101,12977
101,13038
101,513
101,20327
101,1007110
101,333
101,13250
101,1006192
101,13321
101,1007105
101,20397
101,20398
101,13468
101,526
101,20399
101,20400
101,1006196
101,1006195
101,13701
101,529
101,13737
101,13741
101,20401
101,20402
101,20403
101,20404
101,1006202
101,1006121
101,1006169
101,1006864
101,1006861
101,1006863
101,1006862
101,1006858
101,14138
101,14157
101,14175
101,20377
101,20378
101,20375
101,20376
101,20373
101,20374
101,1007154
102,8586
102,8903
102,1001334
102,3498
102,1000776
102,1000393
102,1001713
102,1002381
102,1002388
102,1002795
102,1001909
102,1001667
102,1001668
102,1001335
102,1001336
102,1000455
102,1000448
102,1000511
102,1000443
102,1000541
102,1000428
102,1000520
102,1000418
102,1000526
102,1000632
102,1000777
102,1000180
102,1000181
102,1000390
102,1000182
102,1000388
102,1002384
102,1002132
102,1002126
102,1002265
102,1002123
102,1002116
102,6392
102,1001837
102,1001842
102,1001844
102,1001629
102,1001630
102,1001622
102,1002033
102,1002485
102,1002489
102,1002521
102,8902
102,1007036
102,9246
102,1005079
102,1005109
102,1005247
102,1005249
102,1005350
102,1005354
102,1005348
102,1005357
102,1005345
102,1005364
102,1005363
102,1005365
102,1005343
102,1005366
103,1001312
103,1001485
103,1001273
103,1001114
103,1001308
103,1003131
103,1003176
103,1003071
103,10058
103,11327
103,12733
103,1005764
103,13712
103,1001115
103,1001267
103,1001214
103,1001264
103,1001848
103,6902
103,14832
103,1001841
103,1000313
103,1001855
103,1001076
103,6962
103,1000576
103,1001074
103,1001852
103,1001072
103,1001070
103,7037
103,1001254
103,1001068
103,7068
103,7086
103,1001839
103,1001112
103,7111
103,1001067
103,1001051
103,1001111
103,1001063
103,1001055
103,1001305
103,1001056
103,1001322
103,1000059
103,1001058
103,1001061
103,1000062
103,1001314
103,1001313
103,1000065
103,1003567
103,1000271
103,1002960
103,1003321
103,1002958
103,1000276
103,1003119
103,1003180
103,1003184
103,1003182
103,1003076
103,1003074
103,1003072
103,1003070
103,9643
103,1003544
103,9882
103,1003827
103,1003546
103,1003518
103,1003548
103,1003517
103,1003831
103,1003515
103,1003553
103,1003558
103,1003513
103,1003562
103,11422
103,11571
103,11635
103,1006276
103,1006284
103,1006062
103,1006067
103,1003512
103,12413
103,1006113
103,12728
103,12619
103,1006147
103,1006146
103,1006301
103,1005733
103,15538
103,1005727
103,1005726
103,1006257
103,1005763
103,1005980
103,13419
103,1007089
103,1007087
103,13607
103,1007086
103,1007092
103,13679
103,1007084
103,1007083
103,1007094
104,1002592
104,1006588
104,1003287
104,10470
104,11398
104,11755
104,1002174
104,6510
104,6528
104,1002139
104,1000346
104,1002137
104,1000349
104,1001371
104,1001277
104,1003440
104,1001366
104,1003438
104,1003574
104,1001258
104,1003328
104,1001321
104,1001269
104,1003567
104,1003307
104,1003337
104,1003299
104,8134
104,1003116
104,8175
104,1002966
104,1003283
104,1003275
104,8661
104,1003268
104,8646
104,1003257
104,1003208
104,1002213
104,1002705
104,1002218
104,1002204
104,9242
104,1002200
104,9360
104,1002198
104,1002238
104,1002193
104,9635
104,9729
104,1006008
104,9763
104,205
104,1006021
104,209
104,216
104,10054
104,10261
104,10143
104,10195
104,10366
104,1005385
104,10333
104,10411
104,10413
104,10463
104,10528
104,10578
104,10764
104,10669
104,10711
104,1006292
104,10907
104,10845
104,10937
104,10775
104,10918
104,10880
104,10788
104,10804
104,10861
104,1007228
104,10899
104,1005905
104,1005918
104,1006283
104,1006249
104,1005755
104,1006347
104,1005919
104,1005772
104,11615
104,11722
104,11839
104,1006370
104,11951
104,1005773
104,12090
104,12245
104,12251
104,1005775
104,1005957
104,1006587
104,12418
104,12564
